ID;Dataset;New Architecture?;Base Edges;Layout;Connectivity;Run1;Run2;Run3;Run4;Run5;Run6;Run7;Run8;Run9;Run10;Mean;Std;Incoherence 1;Incoherence 2;Incoherence 3;Incoherence 4;Incoherence 5;Incoherence 6;Incoherence 7;Incoherence 8;Incoherence 9;Incoherence 10;Mean Incoherence;Std Incoherence;Loss 1;Loss 2;Loss 3;Loss 4;Loss 5;Loss 6;Loss 7;Loss 8;Loss 9;Loss 10;Mean Loss;Std Loss
1;0;0;;[10];[[1],[1]];0.891;0.8914;0.8959;0.9012;0.9101;0.9151;0.9104;0.8871;0.9041;0.9201;0.90264;0.011199821427148;0;0;0;0;0;0;0;0;0;0;0;0;2337.23302849788;2436.85139624529;2717.4278364494;2411.88362456907;2157.82393227386;1785.80479302836;1620.85620021527;2347.78082818218;1906.67172379133;1570.91417615075;2129.32475394034;387.295677431973
2;0;1;;[10];[[1,2],[1]];0.8961;0.8977;0.9063;0.9091;0.912;0.9188;0.9123;0.896;0.9095;0.9184;0.90762;0.008536822203451;0.06712737948659;0.064075588103318;0.066305787279709;0.065980218042127;0.065987383070455;0.069724883700254;0.070439837321282;0.064961677775473;0.067714021854605;0.070071447184167;0.067238822381798;0.002208598682045;2284.965320552;2307.51715452663;2515.94699959159;2292.95719332727;2074.53076435943;1729.60517009462;1618.66012422157;2225.9921976555;1824.0604221765;1621.39789972821;2049.56332462333;325.35230217726
3;1;0;;[47];[[1],[1]];0.648563829787234;0.644202127659575;0.63468085106383;0.630425531914894;0.651276595744681;0.643723404255319;0.646914893617021;0.64313829787234;0.645372340425532;0.650053191489362;0.643835106382979;0.00660386377812;0;0;0;0;0;0;0;0;0;0;0;0;9706.88384224636;9786.1952558166;9928.18903022032;9842.47316326255;9699.46259858777;9690.51886439497;9710.74498636606;9835.58402354245;9674.65850515083;9732.7034976373;9760.74137672252;83.8325511788062
4;1;1;;[47];[[1,2],[1]];0.65968085106383;0.655265957446809;0.64686170212766;0.634840425531915;0.643404255319149;0.643936170212766;0.65813829787234;0.639787234042553;0.644414893617021;0.654202127659574;0.648053191489362;0.008319106612627;0.137010191860351;0.127008734508607;0.132552593109154;0.128764510528885;0.134151465480613;0.133047113472862;0.131367705438678;0.127690532876838;0.133156727395076;0.136065251432606;0.132081482610367;0.003387607348052;9762.60817160612;9833.07848594563;10013.2752469435;9938.63040133214;10189.995636364;10150.4054316727;9769.32317562145;10071.1661644561;10059.0124674499;9830.65032789342;9961.81455092848;157.316801884463
5;2;0;;[10];[[1],[1]];0.9139;0.9019;0.8957;0.9034;0.8943;0.8956;0.8901;0.8906;0.8953;0.9031;0.89839;0.007233172041212;0;0;0;0;0;0;0;0;0;0;0;0;1976.21379143524;2307.50750090463;2378.10015420246;1897.96616461021;2184.41783723368;2368.49617811204;2668.33739606059;2513.36235573852;2496.36038530882;2142.80826461529;2293.35700282215;243.743251470514
6;2;1;;[10];[[1,2],[1]];0.9153;0.9057;0.9;0.9028;0.9011;0.8979;0.8973;0.8958;0.8991;0.906;0.9021;0.005751135153651;0.138285277915136;0.13341010520162;0.124529456660899;0.134212125431377;0.135154572972638;0.133600379961819;0.131352735793805;0.127991427166996;0.133196962371725;0.130797934271548;0.132253097774756;0.003850438383795;1982.21752210058;2214.94921131737;2313.23960225004;1827.60236657196;1952.30651366254;2317.7052882098;2573.84589023963;2464.42201858357;2442.85777027848;2072.90278254607;2216.204896576;248.674230368832
7;3;0;;[47];[[1],[1]];0.619840425531915;0.638457446808511;0.61936170212766;0.621808510638298;0.630265957446808;0.6325;0.638882978723404;0.621063829787234;0.625585106382979;0.628617021276596;0.62763829787234;0.007346427463676;0;0;0;0;0;0;0;0;0;0;0;0;11505.6816634517;11055.9723152216;11261.1480786932;11586.2596281257;11103.9661761985;11364.5105833141;11511.6857311049;11268.7507083443;11827.6311745966;11547.9724381933;11403.3578497244;237.286344138571
8;3;1;;[47];[[1,2],[1]];0.628297872340426;0.638882978723404;0.632872340425532;0.626808510638298;0.642287234042553;0.633297872340426;0.626170212765957;0.631223404255319;0.631914893617021;0.629734042553192;0.632148936170213;0.005118754713444;0.240133615955547;0.247216480938098;0.252252097756124;0.252594040504267;0.248624094288032;0.252048647693001;0.248510641875906;0.250583084653093;0.252292745668873;0.248087921585619;0.249234337091856;0.003779962989679;11588.5356393829;11082.9260283543;11279.786918108;11657.7002685419;11105.7347757685;11389.7758954881;11455.0833620393;11213.4431960793;11812.2859145968;11509.6361865779;11409.4908184937;240.964586856526
9;0;0;;[40,30,20];[[1],[1],[1],[1]];0.9664;0.9694;0.9669;0.9684;0.9664;0.9659;0.965;0.9671;0.9662;0.9686;0.96703;0.001368738267327;0;0;0;0;0;0;0;0;0;0;0;0;568.793313347961;542.09058936158;593.071297631811;548.971955798757;600.272297594526;593.637873003952;603.479576953629;593.654367373912;604.643254892222;560.893606941045;580.95081328994;23.556799702049
10;0;1;;[40,30,20];[[1],[1,2,3],[1,2],[1]];0.9665;0.969;0.9684;0.9674;0.968;0.9659;0.9674;0.9679;0.9675;0.9697;0.96777;0.00111360276181;0.351010774839516;0.296219103225098;0.291838937420538;0.342482506201408;0.284921125478936;0.296855665883592;0.305408219290937;0.346243933680237;0.308403601030902;0.34578631364592;0.316917018069708;0.026242294449076;585.203507676761;527.171336667815;573.218645185546;575.173720843859;575.25522862956;589.045360321511;609.221788253906;589.469453917103;584.380858063849;545.335577103106;575.347547666302;23.4271916445278
11;2;0;;[40,30,20];[[1],[1],[1],[1]];0.9671;0.9667;0.965;0.9665;0.9675;0.9667;0.964;0.9632;0.9691;0.967;0.96628;0.001743432119572;0;0;0;0;0;0;0;0;0;0;0;0;596.972073316703;568.443229990888;615.534565376317;606.302795003568;574.192395807267;606.939349830149;608.490194804261;624.35051430308;554.664059201475;597.324594373634;595.321377200734;22.3827170303414
12;2;1;;[40,30,20];[[1],[1,2,3],[1,2],[1]];0.9664;0.9659;0.9642;0.9651;0.9675;0.9669;0.964;0.9643;0.9687;0.9644;0.96574;0.001610520964712;0.532587362067592;0.49974964489899;0.510371576096279;0.509191565076894;0.516093919521594;0.509724571029915;0.510197176012772;0.516682089440901;0.508140881213555;0.502824340921101;0.511556312627959;0.008998003300351;616.944046427166;583.949885936036;624.855555823808;606.13851447391;581.868181885684;621.485504393851;616.85015441991;626.373112409653;574.14230932833;627.048910400075;607.965617549842;20.3737261812704
13;3;0;;[40,30,20];[[1],[1],[1],[1]];0.382393617021277;0.399787234042553;0.393244680851064;0.408989361702128;0.396117021276596;0.382925531914894;0.392872340425532;0.382553191489362;0.385851063829787;0.383457446808511;0.39081914893617;0.009001547966962;0;0;0;0;0;0;0;0;0;0;0;0;12638.1226011758;12863.7309141204;12598.315330929;12834.421629831;12656.3800514336;12653.6009217782;12652.4231166281;12657.4167066733;12674.5973418617;12849.7811819338;12707.8789796365;99.7981054095168
14;3;1;;[40,30,20];[[1],[1,2,3],[1,2],[1]];0.710212765957447;0.69686170212766;0.709468085106383;0.695053191489362;0.702659574468085;0.714042553191489;0.724468085106383;0.70313829787234;0.705425531914894;0.710904255319149;0.707223404255319;0.00861285396707;0.863768677412474;0.900468012228787;0.860948167294182;0.868360755935256;0.849985206887037;0.872997454433499;0.872612251158272;0.872380526667276;0.867420311674674;0.888263825891743;0.87172051895832;0.014080876155524;8595.01210101793;9300.498216249;8663.20915630621;9274.81697454882;8631.30305586902;8582.5879459383;8505.99038148831;9058.82485703068;8774.82041287612;9065.2183527912;8845.22814541156;301.175282099934
15;2;0;;[100,100,100];[[1],[1],[1],[1]];0.977;0.9778;0.9764;0.9774;0.9769;0.9778;0.9769;0.9755;0.9765;0.978;0.97702;0.000768548415304;0;0;0;0;0;0;0;0;0;0;0;0;395.528368827174;384.641049395962;410.962913157219;400.855714107822;417.131773128539;389.991202827137;397.720642400514;432.027225966936;413.765061434811;393.754457711862;403.637840895798;14.5203602536216
16;2;1;;[100,100,100];[[1],[1,2],[1,2],[1]];0.9763;0.976;0.9725;0.9765;0.9764;0.9752;0.9752;0.9747;0.9756;0.9782;0.97566;0.001474373690005;0.39704255123211;0.39748460401082;0.390788260505435;0.351849812185415;0.408508052363203;0.394455757239756;0.388298715805729;0.394082744422711;0.367252850422365;0.383234337922135;0.387299768610968;0.016444973755845;411.254229944703;407.403159554693;452.337508838462;421.66524249184;411.873949881275;428.534333225997;432.261417132472;439.160344164449;417.880258869497;389.786241789736;421.215668589313;17.7719224643135
17;3;0;;[100,100,100];[[1],[1],[1],[1]];0.813457446808511;0.813031914893617;0.810957446808511;0.817287234042553;0.815;0.816329787234043;0.808351063829787;0.812074468085106;0.813085106382979;0.81186170212766;0.813143617021277;0.002612280441333;0;0;0;0;0;0;0;0;0;0;0;0;5701.44884433686;5810.47311993495;5936.7642270598;5646.23292193474;5815.25957765415;5713.9161849427;5784.91498992906;5735.42933935757;5892.78358163452;5721.85874259881;5775.90815293832;90.1367285320112
18;3;1;;[100,100,100];[[1],[1,2],[1,2],[1]];0.808563829787234;0.804202127659574;0.809414893617021;0.810904255319149;0.813085106382979;0.813670212765957;0.803882978723404;0.809946808510638;0.808457446808511;0.813297872340426;0.80954255319149;0.003470669387696;0.431725477040148;0.4559419961656;0.460486724179429;0.440973414648102;0.468496329691106;0.45854882609259;0.440093358353839;0.427558405332333;0.464825929027879;0.445932868759731;0.449458332929076;0.014185654688285;5791.38168015655;5953.49268995912;5990.12813660006;5784.62505382913;5751.49967278093;5813.22111932433;6029.62008976166;5762.52540922209;6011.1226634442;5798.28814775221;5868.59046628303;112.647620542955
